,words,idf
369,phrases,7.600902459542082
368,apples,7.600902459542082
69,assistant,7.600902459542082
68,app,7.600902459542082
305,fix,7.600902459542082
304,tagline,7.600902459542082
33,features,7.600902459542082
8,intelligence,7.600902459542082
9,does,7.600902459542082
32,need,7.600902459542082
337,bird,7.600902459542082
336,count,7.600902459542082
322,needs,6.907755278982137
323,employees,6.907755278982137
53,successful,6.907755278982137
52,like,6.907755278982137
48,formal,6.907755278982137
28,table,6.907755278982137
29,metaphor,6.907755278982137
49,gpt,6.907755278982137
288,math,6.907755278982137
289,device,6.907755278982137
334,man,6.907755278982137
330,tool,6.907755278982137
331,laptop,6.907755278982137
335,taking,6.907755278982137
257,budget,6.907755278982137
256,solar,6.907755278982137
384,visit,6.907755278982137
385,catchy,6.907755278982137
338,z,6.907755278982137
339,emissions,6.907755278982137
39,evaluate,6.502290170873972
340,career,6.502290170873972
341,consequences,6.502290170873972
342,photo,6.502290170873972
343,makes,6.502290170873972
392,range,6.502290170873972
36,7,6.502290170873972
38,read,6.502290170873972
291,extract,6.502290170873972
241,performance,6.502290170873972
240,art,6.502290170873972
6,some,6.502290170873972
7,answer,6.502290170873972
231,put,6.502290170873972
230,binary,6.502290170873972
20,8,6.502290170873972
21,service,6.502290170873972
290,expresses,6.502290170873972
348,affect,6.502290170873972
37,task,6.502290170873972
349,asked,6.502290170873972
180,modern,6.214608098422191
254,another,6.214608098422191
309,goal,6.214608098422191
314,titles,6.214608098422191
235,happy,6.214608098422191
234,plants,6.214608098422191
315,park,6.214608098422191
122,travel,6.214608098422191
255,economy,6.214608098422191
181,presentation,6.214608098422191
264,then,6.214608098422191
265,dataset,6.214608098422191
318,snippet,6.214608098422191
164,products,6.214608098422191
106,air,6.214608098422191
308,necessary,6.214608098422191
165,moon,6.214608098422191
319,cake,6.214608098422191
107,changing,6.214608098422191
123,f,6.214608098422191
378,criteria,6.214608098422191
31,term,6.214608098422191
358,languages,6.214608098422191
64,children,6.214608098422191
371,modify,6.214608098422191
65,opinion,6.214608098422191
379,beneficial,6.214608098422191
359,flow,6.214608098422191
370,guess,6.214608098422191
30,marketing,6.214608098422191
380,organization,6.214608098422191
381,coffee,6.214608098422191
219,trip,5.991464547107982
121,night,5.991464547107982
125,temperature,5.991464547107982
218,success,5.991464547107982
128,build,5.991464547107982
120,pick,5.991464547107982
317,organize,5.991464547107982
119,propose,5.991464547107982
118,summer,5.991464547107982
124,author,5.991464547107982
160,match,5.991464547107982
316,compile,5.991464547107982
14,out,5.991464547107982
205,friendly,5.991464547107982
303,measure,5.991464547107982
302,birthday,5.991464547107982
204,compute,5.991464547107982
161,objects,5.991464547107982
191,simile,5.991464547107982
190,musical,5.991464547107982
187,result,5.991464547107982
186,19,5.991464547107982
15,book,5.991464547107982
129,largest,5.991464547107982
70,rearrange,5.991464547107982
71,works,5.991464547107982
345,vegan,5.991464547107982
390,commonly,5.991464547107982
344,hashtag,5.991464547107982
59,total,5.991464547107982
333,json,5.991464547107982
391,linear,5.991464547107982
58,step,5.991464547107982
332,speed,5.991464547107982
90,place,5.991464547107982
242,missing,5.991464547107982
243,around,5.991464547107982
91,single,5.991464547107982
155,american,5.809142990314028
297,know,5.809142990314028
154,recent,5.809142990314028
280,reducing,5.809142990314028
200,friends,5.809142990314028
156,primary,5.809142990314028
157,decision,5.809142990314028
281,rules,5.809142990314028
284,every,5.809142990314028
285,disadvantages,5.809142990314028
201,support,5.809142990314028
387,thing,5.809142990314028
296,want,5.809142990314028
22,adjectives,5.809142990314028
300,pronoun,5.809142990314028
168,mathematical,5.809142990314028
169,effect,5.809142990314028
170,category,5.809142990314028
171,skills,5.809142990314028
293,address,5.809142990314028
292,interrogative,5.809142990314028
176,sun,5.809142990314028
177,discuss,5.809142990314028
189,cons,5.809142990314028
188,pros,5.809142990314028
23,day,5.809142990314028
354,represent,5.809142990314028
301,regular,5.809142990314028
94,been,5.809142990314028
321,k,5.809142990314028
320,divide,5.809142990314028
16,importance,5.809142990314028
17,examples,5.809142990314028
60,project,5.809142990314028
99,random,5.809142990314028
98,interview,5.809142990314028
386,star,5.809142990314028
61,purpose,5.809142990314028
95,document,5.809142990314028
185,power,5.809142990314028
313,daily,5.809142990314028
355,course,5.809142990314028
86,living,5.809142990314028
87,fact,5.809142990314028
312,efficient,5.809142990314028
184,starting,5.809142990314028
383,networks,5.654992310486769
210,500,5.654992310486769
207,benefit,5.654992310486769
211,square,5.654992310486769
252,professional,5.654992310486769
214,businesses,5.654992310486769
206,nature,5.654992310486769
389,teacher,5.654992310486769
388,vocabulary,5.654992310486769
228,colors,5.654992310486769
382,revolution,5.654992310486769
215,11,5.654992310486769
229,applications,5.654992310486769
249,columns,5.654992310486769
248,implications,5.654992310486769
253,chatbot,5.654992310486769
246,historical,5.654992310486769
130,summarizing,5.654992310486769
299,vegetables,5.654992310486769
126,logo,5.654992310486769
127,friend,5.654992310486769
46,but,5.654992310486769
131,spelling,5.654992310486769
47,ask,5.654992310486769
367,smallest,5.654992310486769
372,companies,5.654992310486769
366,quiz,5.654992310486769
373,base,5.654992310486769
144,timeline,5.654992310486769
145,perfect,5.654992310486769
247,pet,5.654992310486769
74,increase,5.654992310486769
294,am,5.654992310486769
75,instructions,5.654992310486769
351,may,5.654992310486769
350,series,5.654992310486769
298,grammatical,5.654992310486769
158,earth,5.654992310486769
159,painting,5.654992310486769
295,score,5.654992310486769
360,contain,5.521460917862246
117,hypothesis,5.521460917862246
116,dog,5.521460917862246
362,card,5.521460917862246
327,alphabetical,5.521460917862246
363,25,5.521460917862246
361,interface,5.521460917862246
326,let,5.521460917862246
262,diet,5.521460917862246
233,consider,5.521460917862246
232,workplace,5.521460917862246
24,6,5.521460917862246
263,safety,5.521460917862246
269,check,5.521460917862246
179,alternative,5.521460917862246
178,working,5.521460917862246
173,today,5.521460917862246
172,security,5.521460917862246
273,beach,5.521460917862246
272,significance,5.521460917862246
150,letters,5.521460917862246
151,meaningful,5.521460917862246
268,adverb,5.521460917862246
310,compound,5.521460917862246
311,behind,5.521460917862246
25,passage,5.521460917862246
267,difficult,5.403677882205863
261,verbs,5.403677882205863
274,ocean,5.403677882205863
275,lives,5.403677882205863
266,weather,5.403677882205863
251,certain,5.403677882205863
250,sky,5.403677882205863
346,very,5.403677882205863
347,clause,5.403677882205863
353,height,5.403677882205863
260,ethical,5.403677882205863
352,yourself,5.403677882205863
196,india,5.403677882205863
105,m,5.403677882205863
97,species,5.403677882205863
162,war,5.403677882205863
216,class,5.403677882205863
217,policy,5.403677882205863
163,his,5.403677882205863
67,conversation,5.403677882205863
104,formulate,5.403677882205863
174,creating,5.403677882205863
197,house,5.403677882205863
3,come,5.403677882205863
2,construct,5.403677882205863
226,political,5.403677882205863
227,fill,5.403677882205863
175,parts,5.403677882205863
66,return,5.403677882205863
238,engineer,5.403677882205863
239,financial,5.403677882205863
96,old,5.403677882205863
152,password,5.298317366548036
245,waste,5.298317366548036
153,strings,5.298317366548036
79,active,5.298317366548036
78,synonym,5.298317366548036
101,setting,5.298317366548036
143,start,5.298317366548036
142,define,5.298317366548036
100,descriptive,5.298317366548036
62,writing,5.298317366548036
137,produce,5.298317366548036
136,maximum,5.298317366548036
115,reword,5.298317366548036
114,spanish,5.298317366548036
244,root,5.298317366548036
108,dish,5.298317366548036
63,state,5.298317366548036
109,50,5.298317366548036
374,3x,5.298317366548036
277,self,5.298317366548036
13,below,5.298317366548036
213,method,5.298317366548036
375,trends,5.298317366548036
220,assign,5.298317366548036
221,buy,5.298317366548036
199,combine,5.298317366548036
198,must,5.298317366548036
212,campaign,5.298317366548036
276,general,5.298317366548036
42,global,5.298317366548036
43,current,5.298317366548036
259,sample,5.298317366548036
258,complex,5.298317366548036
236,medical,5.298317366548036
237,brand,5.298317366548036
12,information,5.298317366548036
4,all,5.203007186743712
329,plastic,5.203007186743712
5,learning,5.203007186743712
103,field,5.203007186743712
102,synonyms,5.203007186743712
328,leader,5.203007186743712
365,film,5.203007186743712
85,integers,5.203007186743712
325,circle,5.203007186743712
84,passive,5.203007186743712
40,theme,5.203007186743712
41,review,5.203007186743712
73,future,5.203007186743712
72,education,5.203007186743712
44,solve,5.203007186743712
45,science,5.203007186743712
356,horror,5.203007186743712
357,explains,5.203007186743712
50,n,5.203007186743712
51,without,5.203007186743712
364,distance,5.203007186743712
0,by,5.203007186743712
324,personal,5.203007186743712
222,law,5.203007186743712
193,part,5.203007186743712
149,learn,5.203007186743712
148,reverse,5.203007186743712
194,multiple,5.203007186743712
195,imperative,5.203007186743712
1,classify,5.203007186743712
271,30,5.203007186743712
270,society,5.203007186743712
192,pieces,5.203007186743712
223,fictional,5.203007186743712
139,idiom,5.203007186743712
132,prime,5.203007186743712
133,physical,5.203007186743712
135,errors,5.203007186743712
138,stress,5.203007186743712
134,after,5.203007186743712
376,meal,5.115995809754082
377,journey,5.115995809754082
183,classification,5.115995809754082
10,time,5.115995809754082
26,tweet,5.115995809754082
286,detailed,5.115995809754082
11,business,5.115995809754082
54,content,5.115995809754082
55,whether,5.115995809754082
224,own,5.115995809754082
110,get,5.115995809754082
225,longest,5.115995809754082
27,line,5.115995809754082
287,blockchain,5.115995809754082
182,takes,5.115995809754082
140,survey,5.115995809754082
306,problems,5.115995809754082
307,transportation,5.115995809754082
141,something,5.115995809754082
167,high,5.115995809754082
111,real,5.115995809754082
166,emotion,5.115995809754082
112,party,5.035953102080546
93,our,5.035953102080546
208,exercise,5.035953102080546
18,them,5.035953102080546
19,value,5.035953102080546
92,warming,5.035953102080546
89,stock,5.035953102080546
34,advantages,5.035953102080546
35,argument,5.035953102080546
88,years,5.035953102080546
209,go,5.035953102080546
146,activity,5.035953102080546
83,sports,5.035953102080546
203,feature,5.035953102080546
202,relevant,5.035953102080546
278,both,5.035953102080546
279,six,5.035953102080546
82,rate,5.035953102080546
282,solving,5.035953102080546
283,dinner,5.035953102080546
81,such,5.035953102080546
80,market,5.035953102080546
147,computing,5.035953102080546
77,action,5.035953102080546
76,last,5.035953102080546
56,piece,5.035953102080546
57,y,5.035953102080546
113,only,5.035953102080546
